"yvar","variable","r2"
"OGI","value",0.910856372863983
"OGI","value",0.908556175280754
"OGI","value",0.915731073836292
"OGI","value",0.90507052207027
"OGI","value",0.912870408299116
"OGI","value",0.917991802673912
"OGI","value",0.90855517527683
"OGI","value",0.906499756008521
"OGI","value",0.9068897798992
"OGI","value",0.9030964290473
"OGMn","value",0.794824945071749
"OGMn","value",0.787324953158957
"OGMn","value",0.758530484843267
"OGMn","value",0.773389910569235
"OGMn","value",0.784929989024171
"OGMn","value",0.798277167800528
"OGMn","value",0.804336597492515
"OGMn","value",0.77586638176233
"OGMn","value",0.793780295985866
"OGMn","value",0.787937609688243
"GSL.50","value",0.761665912691829
"GSL.50","value",0.799967828463282
"GSL.50","value",0.791159032893987
"GSL.50","value",0.814763467962769
"GSL.50","value",0.789059523284015
"GSL.50","value",0.810766177585913
"GSL.50","value",0.806311122278804
"GSL.50","value",0.793191588267187
"GSL.50","value",0.7878832009077
"GSL.50","value",0.807417757424137
"EVImax","value",0.706379752098871
"EVImax","value",0.710619003520865
"EVImax","value",0.668607927775799
"EVImax","value",0.719167297858805
"EVImax","value",0.682551003685256
"EVImax","value",0.691529534563521
"EVImax","value",0.701156195872915
"EVImax","value",0.711610289332943
"EVImax","value",0.651508794470674
"EVImax","value",0.687965187432467
