"yvar","variable","importance"
"OGI","year",73632.2548778502
"OGI","year",65504.5674263027
"OGI","year",69181.7415155583
"OGI","year",75026.7169793695
"OGI","year",66338.7609558276
"OGI","year",70191.5075593942
"OGI","year",66303.7577749429
"OGI","year",61943.3537412454
"OGI","year",69471.8261548277
"OGI","year",64904.2570280763
"OGMn","year",65618.5151266905
"OGMn","year",71100.3844127473
"OGMn","year",78199.8746201887
"OGMn","year",70578.5053727731
"OGMn","year",70609.345513293
"OGMn","year",71428.7458134782
"OGMn","year",73023.7665119563
"OGMn","year",66661.7391625878
"OGMn","year",74884.6114464617
"OGMn","year",69421.1664490196
"GSL.50","year",5943.86126990469
"GSL.50","year",5507.07642315683
"GSL.50","year",5612.27189502244
"GSL.50","year",5127.93038064451
"GSL.50","year",5451.93598076858
"GSL.50","year",5012.19482593466
"GSL.50","year",5357.72172640955
"GSL.50","year",5565.80244031434
"GSL.50","year",5439.87268957763
"GSL.50","year",5721.80022598578
"EVImax","year",0.378359872420176
"EVImax","year",0.395694931404548
"EVImax","year",0.351428317017762
"EVImax","year",0.417047222699828
"EVImax","year",0.378655863233304
"EVImax","year",0.381086844558191
"EVImax","year",0.388782908117783
"EVImax","year",0.374872731170696
"EVImax","year",0.361696205221991
"EVImax","year",0.344897240118187
"OGI","elevation",11811.8963718844
"OGI","elevation",12210.0313749279
"OGI","elevation",13261.9039384294
"OGI","elevation",12276.1835155309
"OGI","elevation",13356.8078623468
"OGI","elevation",10756.1119522775
"OGI","elevation",11495.8754946019
"OGI","elevation",11986.9632677108
"OGI","elevation",11863.2007540103
"OGI","elevation",11847.2835050338
"OGMn","elevation",22443.1260634551
"OGMn","elevation",23864.6181813001
"OGMn","elevation",25247.6886956861
"OGMn","elevation",24553.4811648946
"OGMn","elevation",25155.9216728893
"OGMn","elevation",23813.5235692707
"OGMn","elevation",25741.4177331161
"OGMn","elevation",24525.6759882213
"OGMn","elevation",24327.4975535693
"OGMn","elevation",21499.4128398183
"GSL.50","elevation",40022.8101377917
"GSL.50","elevation",42281.3435822424
"GSL.50","elevation",38654.4580166016
"GSL.50","elevation",43615.8474456894
"GSL.50","elevation",35694.4250356486
"GSL.50","elevation",38530.9810496763
"GSL.50","elevation",38426.6400275107
"GSL.50","elevation",40473.8530816699
"GSL.50","elevation",37004.7010553591
"GSL.50","elevation",43809.799116642
"EVImax","elevation",0.676015011807764
"EVImax","elevation",0.648311792135323
"EVImax","elevation",0.670397195146598
"EVImax","elevation",0.645803994883763
"EVImax","elevation",0.617596752093525
"EVImax","elevation",0.642161881137407
"EVImax","elevation",0.650569446936104
"EVImax","elevation",0.666976602162956
"EVImax","elevation",0.643951556347
"EVImax","elevation",0.625604349871445
"OGI","cos_aspect",2676.12252318786
"OGI","cos_aspect",2873.47319485421
"OGI","cos_aspect",2632.71415070562
"OGI","cos_aspect",2597.31943771416
"OGI","cos_aspect",2495.4990347442
"OGI","cos_aspect",2632.67103482559
"OGI","cos_aspect",2522.98215248387
"OGI","cos_aspect",2528.08928006323
"OGI","cos_aspect",2688.85627114111
"OGI","cos_aspect",2423.85630597717
"OGMn","cos_aspect",44955.5395104329
"OGMn","cos_aspect",41340.2731287152
"OGMn","cos_aspect",44961.7869368778
"OGMn","cos_aspect",40144.51061755
"OGMn","cos_aspect",45605.7656494734
"OGMn","cos_aspect",43441.5195037762
"OGMn","cos_aspect",42573.4727427926
"OGMn","cos_aspect",42255.1823819974
"OGMn","cos_aspect",41443.4964916472
"OGMn","cos_aspect",37115.9746387316
"GSL.50","cos_aspect",14517.269963538
"GSL.50","cos_aspect",14789.6576899222
"GSL.50","cos_aspect",12997.5316669524
"GSL.50","cos_aspect",14062.8143962641
"GSL.50","cos_aspect",13782.9515478784
"GSL.50","cos_aspect",14616.9747587259
"GSL.50","cos_aspect",15203.4105305803
"GSL.50","cos_aspect",16745.6844668712
"GSL.50","cos_aspect",14370.3274498397
"GSL.50","cos_aspect",15012.8010615719
"EVImax","cos_aspect",0.411821280812266
"EVImax","cos_aspect",0.482801562133902
"EVImax","cos_aspect",0.389630429518808
"EVImax","cos_aspect",0.41909848306041
"EVImax","cos_aspect",0.388241522849229
"EVImax","cos_aspect",0.417071298338442
"EVImax","cos_aspect",0.423257167207844
"EVImax","cos_aspect",0.427633468475923
"EVImax","cos_aspect",0.433845627288344
"EVImax","cos_aspect",0.455659067304155
"OGI","slope",3258.55213314353
"OGI","slope",3864.66902212114
"OGI","slope",3447.11893406111
"OGI","slope",3453.41084717779
"OGI","slope",3823.25421867785
"OGI","slope",3419.35916641108
"OGI","slope",3316.29826951184
"OGI","slope",3177.04852321615
"OGI","slope",3719.42518906924
"OGI","slope",3730.57705912252
"OGMn","slope",9869.8199978021
"OGMn","slope",8456.90670312399
"OGMn","slope",9615.24036103035
"OGMn","slope",9406.73911621729
"OGMn","slope",9906.78884239224
"OGMn","slope",8849.0961838732
"OGMn","slope",9901.70369637157
"OGMn","slope",9990.9331360198
"OGMn","slope",9500.76056170676
"OGMn","slope",9210.37032945243
"GSL.50","slope",8337.25607880798
"GSL.50","slope",8145.63492126781
"GSL.50","slope",7857.65641702336
"GSL.50","slope",7961.28229232443
"GSL.50","slope",8668.94769669011
"GSL.50","slope",8290.2141147323
"GSL.50","slope",7923.15792149029
"GSL.50","slope",7705.2616462168
"GSL.50","slope",7838.65236176165
"GSL.50","slope",7455.12371889043
"EVImax","slope",0.471966392245329
"EVImax","slope",0.472375080863495
"EVImax","slope",0.450149414395418
"EVImax","slope",0.462336271249972
"EVImax","slope",0.461442814626525
"EVImax","slope",0.506303702397038
"EVImax","slope",0.506991484916329
"EVImax","slope",0.525559620183465
"EVImax","slope",0.500170603826761
"EVImax","slope",0.434481872527194
"OGI","height_canopy",1473.58107675542
"OGI","height_canopy",1616.87694388539
"OGI","height_canopy",1572.18547632811
"OGI","height_canopy",1498.52758259414
"OGI","height_canopy",1465.7390333379
"OGI","height_canopy",1489.8902968076
"OGI","height_canopy",1415.32932376034
"OGI","height_canopy",1510.09336011018
"OGI","height_canopy",1650.66233714514
"OGI","height_canopy",1588.24662565939
"OGMn","height_canopy",11551.7178784214
"OGMn","height_canopy",11119.4864971387
"OGMn","height_canopy",12512.843241493
"OGMn","height_canopy",11171.1041041928
"OGMn","height_canopy",11815.7086945861
"OGMn","height_canopy",11762.9720261041
"OGMn","height_canopy",11697.9830588773
"OGMn","height_canopy",11463.658968631
"OGMn","height_canopy",12144.1329093435
"OGMn","height_canopy",9215.87899446748
"GSL.50","height_canopy",35308.9967206764
"GSL.50","height_canopy",37497.9300528898
"GSL.50","height_canopy",36916.3588201901
"GSL.50","height_canopy",35222.2336158515
"GSL.50","height_canopy",33453.2763374272
"GSL.50","height_canopy",39544.8573631981
"GSL.50","height_canopy",33333.0147691346
"GSL.50","height_canopy",34244.0696126067
"GSL.50","height_canopy",35246.266056261
"GSL.50","height_canopy",31537.273779002
"EVImax","height_canopy",0.814202378202231
"EVImax","height_canopy",0.856234197839073
"EVImax","height_canopy",0.718866288533918
"EVImax","height_canopy",0.865337683693504
"EVImax","height_canopy",0.807904570706221
"EVImax","height_canopy",0.804087334780995
"EVImax","height_canopy",0.850883224604976
"EVImax","height_canopy",0.8369129055446
"EVImax","height_canopy",0.859908412716593
"EVImax","height_canopy",0.779537148937559
"OGI","cytotype_fraction_diploid",1418.53521389842
"OGI","cytotype_fraction_diploid",1475.84521317892
"OGI","cytotype_fraction_diploid",1463.28310090775
"OGI","cytotype_fraction_diploid",1373.98229713922
"OGI","cytotype_fraction_diploid",1362.68665823184
"OGI","cytotype_fraction_diploid",1479.11065132373
"OGI","cytotype_fraction_diploid",1452.60079294762
"OGI","cytotype_fraction_diploid",1446.93751327331
"OGI","cytotype_fraction_diploid",1446.56819069621
"OGI","cytotype_fraction_diploid",1347.73267211893
"OGMn","cytotype_fraction_diploid",8316.77086390897
"OGMn","cytotype_fraction_diploid",8071.14003240769
"OGMn","cytotype_fraction_diploid",8034.98992902439
"OGMn","cytotype_fraction_diploid",8672.25458180104
"OGMn","cytotype_fraction_diploid",9175.38991388471
"OGMn","cytotype_fraction_diploid",9002.10740433491
"OGMn","cytotype_fraction_diploid",8552.32792256864
"OGMn","cytotype_fraction_diploid",8541.20729830111
"OGMn","cytotype_fraction_diploid",8646.31321501636
"OGMn","cytotype_fraction_diploid",8632.02335416816
"GSL.50","cytotype_fraction_diploid",9913.3376294912
"GSL.50","cytotype_fraction_diploid",9088.04432752059
"GSL.50","cytotype_fraction_diploid",11101.0204864008
"GSL.50","cytotype_fraction_diploid",9398.96576865027
"GSL.50","cytotype_fraction_diploid",9112.51822305656
"GSL.50","cytotype_fraction_diploid",9737.41539019615
"GSL.50","cytotype_fraction_diploid",10191.1353042612
"GSL.50","cytotype_fraction_diploid",9399.75978720003
"GSL.50","cytotype_fraction_diploid",9897.14042274374
"GSL.50","cytotype_fraction_diploid",10442.6965565912
"EVImax","cytotype_fraction_diploid",1.96009971924939
"EVImax","cytotype_fraction_diploid",1.94684380361416
"EVImax","cytotype_fraction_diploid",1.96049880921543
"EVImax","cytotype_fraction_diploid",2.09472806672412
"EVImax","cytotype_fraction_diploid",2.00369549740862
"EVImax","cytotype_fraction_diploid",2.08401636597588
"EVImax","cytotype_fraction_diploid",1.95998756385075
"EVImax","cytotype_fraction_diploid",1.93695209846581
"EVImax","cytotype_fraction_diploid",2.1358835165637
"EVImax","cytotype_fraction_diploid",2.00293774166963
"OGI","tmax_q99.t.minus.3",14273.6201881462
"OGI","tmax_q99.t.minus.3",13709.2424378882
"OGI","tmax_q99.t.minus.3",14470.7444214713
"OGI","tmax_q99.t.minus.3",14028.1071394936
"OGI","tmax_q99.t.minus.3",14437.6193815135
"OGI","tmax_q99.t.minus.3",14691.7617875593
"OGI","tmax_q99.t.minus.3",14896.257752688
"OGI","tmax_q99.t.minus.3",15094.3286296161
"OGI","tmax_q99.t.minus.3",15092.2120996257
"OGI","tmax_q99.t.minus.3",14200.946822707
"OGMn","tmax_q99.t.minus.3",36807.6848079801
"OGMn","tmax_q99.t.minus.3",34364.8433317926
"OGMn","tmax_q99.t.minus.3",37064.8603824865
"OGMn","tmax_q99.t.minus.3",32606.5537271826
"OGMn","tmax_q99.t.minus.3",33990.2297120357
"OGMn","tmax_q99.t.minus.3",34841.4774926582
"OGMn","tmax_q99.t.minus.3",35231.454440722
"OGMn","tmax_q99.t.minus.3",37551.7719795585
"OGMn","tmax_q99.t.minus.3",36326.2452560341
"OGMn","tmax_q99.t.minus.3",30306.4972233826
"GSL.50","tmax_q99.t.minus.3",21454.8031126282
"GSL.50","tmax_q99.t.minus.3",18568.4102169264
