"yvar","variable","r2"
"OGI","value",0.895044375194352
"OGI","value",0.894873209187475
"OGI","value",0.896088593968351
"OGI","value",0.894514072567114
"OGI","value",0.897549373125744
"OGI","value",0.893997390042631
"OGI","value",0.894901891494294
"OGI","value",0.897128780176365
"OGI","value",0.897320073959062
"OGI","value",0.893570621271475
"OGMn","value",0.747872954631383
"OGMn","value",0.743026984195836
"OGMn","value",0.755197150159051
"OGMn","value",0.738839842948118
"OGMn","value",0.742545948070735
"OGMn","value",0.740655381415864
"OGMn","value",0.74644283093625
"OGMn","value",0.737036189458833
"OGMn","value",0.743218290646014
"OGMn","value",0.742287689556119
"GSL.50","value",0.73538131822207
"GSL.50","value",0.735137258827479
"GSL.50","value",0.746848393366229
"GSL.50","value",0.741606817671366
"GSL.50","value",0.734905868588613
"GSL.50","value",0.737631688242511
"GSL.50","value",0.737117737104443
"GSL.50","value",0.734556088734365
"GSL.50","value",0.728540420905462
"GSL.50","value",0.738371607958897
"EVImax","value",0.582509590989955
"EVImax","value",0.57764093280925
"EVImax","value",0.579941270499272
"EVImax","value",0.579739602984148
"EVImax","value",0.586697789140677
"EVImax","value",0.584098046606819
"EVImax","value",0.584959892519975
"EVImax","value",0.567199357639358
"EVImax","value",0.577834950738934
"EVImax","value",0.577357755475002
