"yvar","variable","r2"
"OGI","value",0.910683760078103
"OGI","value",0.912053740597974
"OGI","value",0.914658072142274
"OGI","value",0.908833958621655
"OGI","value",0.909861781032207
"OGI","value",0.907624001841217
"OGI","value",0.911548657500223
"OGI","value",0.910302996278359
"OGI","value",0.913802614044225
"OGI","value",0.914823468597837
"OGMn","value",0.796936364634479
"OGMn","value",0.775522096786608
"OGMn","value",0.785253189052449
"OGMn","value",0.78052396822443
"OGMn","value",0.77941729341833
"OGMn","value",0.790449851695702
"OGMn","value",0.80313664431228
"OGMn","value",0.780165482327573
"OGMn","value",0.789778906894576
"OGMn","value",0.801276404034174
"GSL.50","value",0.794476191430795
"GSL.50","value",0.77960791870905
"GSL.50","value",0.791868092219472
"GSL.50","value",0.782068593475768
"GSL.50","value",0.79032475995912
"GSL.50","value",0.788843958188259
"GSL.50","value",0.785409011939557
"GSL.50","value",0.789601537972709
"GSL.50","value",0.786846732840548
"GSL.50","value",0.786994987191723
"EVImax","value",0.647444936393513
"EVImax","value",0.621871118856978
"EVImax","value",0.651446473148657
"EVImax","value",0.641759853718478
"EVImax","value",0.645577729068984
"EVImax","value",0.624455407341717
"EVImax","value",0.649793997101585
"EVImax","value",0.643643137906321
"EVImax","value",0.644270865140005
"EVImax","value",0.640592455516897
