"yvar","variable","importance"
"OGI","year",4312.24201194238
"OGI","year",3377.21358015037
"OGI","year",4105.12542978612
"OGI","year",4275.4473786149
"OGI","year",3781.35508808907
"OGI","year",4439.97282351266
"OGI","year",2914.34031938058
"OGI","year",3584.60818502881
"OGI","year",3909.33779779484
"OGI","year",3108.38494569854
"OGMn","year",6898.02029100214
"OGMn","year",6761.66833913156
"OGMn","year",3685.73755295443
"OGMn","year",6811.07302129956
"OGMn","year",6214.20441200484
"OGMn","year",7443.59813596175
"OGMn","year",6901.98439052454
"OGMn","year",5995.57224493782
"OGMn","year",7309.85066570489
"OGMn","year",6786.28450791761
"GSL.50","year",296.855016936228
"GSL.50","year",317.646359543598
"GSL.50","year",250.680580012831
"GSL.50","year",427.28456636111
"GSL.50","year",343.238369169641
"GSL.50","year",255.371715263465
"GSL.50","year",302.96665157052
"GSL.50","year",264.554831300218
"GSL.50","year",277.171270014329
"GSL.50","year",280.417189618313
"EVImax","year",0.0156540740250078
"EVImax","year",0.0138240107804902
"EVImax","year",0.0137493231309066
"EVImax","year",0.0203061415919248
"EVImax","year",0.0153836711447046
"EVImax","year",0.0150066476937945
"EVImax","year",0.0144268677747922
"EVImax","year",0.0186549163422934
"EVImax","year",0.0157212190559575
"EVImax","year",0.012962246960433
"OGI","elevation",2177.90350806755
"OGI","elevation",2043.58389083776
"OGI","elevation",2138.68799697357
"OGI","elevation",2148.56557961399
"OGI","elevation",1794.09108602148
"OGI","elevation",2159.46076913067
"OGI","elevation",2715.58526484154
"OGI","elevation",2042.83452765688
"OGI","elevation",2195.04347303066
"OGI","elevation",1838.86270726781
"OGMn","elevation",3019.44615831874
"OGMn","elevation",3310.67909246598
"OGMn","elevation",3346.62721796617
"OGMn","elevation",2229.21436336984
"OGMn","elevation",3105.36359504474
"OGMn","elevation",3141.9399534656
"OGMn","elevation",3340.95940823086
"OGMn","elevation",2945.20835299474
"OGMn","elevation",3275.85462433266
"OGMn","elevation",3344.00711050928
"GSL.50","elevation",5514.52510649034
"GSL.50","elevation",5440.71441552037
"GSL.50","elevation",5020.10126701559
"GSL.50","elevation",5694.0122838843
"GSL.50","elevation",5283.59594270268
"GSL.50","elevation",5649.31857098679
"GSL.50","elevation",5441.7878376825
"GSL.50","elevation",4927.67948560456
"GSL.50","elevation",5447.73174145155
"GSL.50","elevation",4738.90285856539
"EVImax","elevation",0.0507244040229222
"EVImax","elevation",0.0586587793256794
"EVImax","elevation",0.0495196557578904
"EVImax","elevation",0.0648183171201515
"EVImax","elevation",0.0507212595243307
"EVImax","elevation",0.0510419733756609
"EVImax","elevation",0.0537307612547262
"EVImax","elevation",0.054958162987984
"EVImax","elevation",0.0396854218088587
"EVImax","elevation",0.0598233256623655
"OGI","cos_aspect",534.051731912601
