"yvar","variable","importance"
"OGI","cytotype_fraction_diploid",714.028595292212
"OGI","cytotype_fraction_diploid",746.883128437067
"OGI","cytotype_fraction_diploid",642.781541758674
"OGMn","cytotype_fraction_diploid",4480.41006077862
"OGMn","cytotype_fraction_diploid",4785.02718934367
"OGMn","cytotype_fraction_diploid",3984.51653978675
"OGMn","cytotype_fraction_diploid",4629.06302337431
"OGMn","cytotype_fraction_diploid",4727.76076209343
"OGMn","cytotype_fraction_diploid",4847.59846818226
"OGMn","cytotype_fraction_diploid",4800.27755096514
"OGMn","cytotype_fraction_diploid",5063.24007675429
"OGMn","cytotype_fraction_diploid",4962.92804586685
"OGMn","cytotype_fraction_diploid",4730.54299367506
"GSL.50","cytotype_fraction_diploid",4549.95942688227
"GSL.50","cytotype_fraction_diploid",4320.70355324973
"GSL.50","cytotype_fraction_diploid",4637.11281922399
"GSL.50","cytotype_fraction_diploid",4258.03380952526
"GSL.50","cytotype_fraction_diploid",4356.94126760287
"GSL.50","cytotype_fraction_diploid",4372.58818263787
"GSL.50","cytotype_fraction_diploid",3746.35621825451
"GSL.50","cytotype_fraction_diploid",4590.34308126446
"GSL.50","cytotype_fraction_diploid",4602.05399551402
"GSL.50","cytotype_fraction_diploid",4847.43138032409
"EVImax","cytotype_fraction_diploid",0.579619699109324
"EVImax","cytotype_fraction_diploid",0.51574736753845
"EVImax","cytotype_fraction_diploid",0.635393015234892
"EVImax","cytotype_fraction_diploid",0.56405952035405
"EVImax","cytotype_fraction_diploid",0.587504511254879
"EVImax","cytotype_fraction_diploid",0.551082638518
"EVImax","cytotype_fraction_diploid",0.67633301217883
"EVImax","cytotype_fraction_diploid",0.550857193473067
"EVImax","cytotype_fraction_diploid",0.577242646253627
"EVImax","cytotype_fraction_diploid",0.567797069705499
"OGI","tmax_q99.t.minus.3",7426.1151938744
"OGI","tmax_q99.t.minus.3",7101.03772399374
"OGI","tmax_q99.t.minus.3",7900.67830255276
"OGI","tmax_q99.t.minus.3",7047.80254285425
"OGI","tmax_q99.t.minus.3",6649.41631643914
"OGI","tmax_q99.t.minus.3",7036.42446188389
"OGI","tmax_q99.t.minus.3",7273.18238916761
"OGI","tmax_q99.t.minus.3",6971.18098899304
"OGI","tmax_q99.t.minus.3",6951.13947324932
"OGI","tmax_q99.t.minus.3",6948.72222919175
"OGMn","tmax_q99.t.minus.3",19203.9384948771
