"x","year","yhat.q50","yhat.q05","yhat.q95","yvar","xvar"
2714.07177734375,2016,138.431511032404,138.312002550077,138.514885070602,"OGI","elevation"
2786.22026909722,2016,138.435729213476,138.310559278827,138.505162060627,"OGI","elevation"
2858.36876085069,2016,138.544658903047,138.39519055783,138.583009942232,"OGI","elevation"
2930.51725260417,2016,138.865501723497,138.745593656554,138.898804948978,"OGI","elevation"
3002.66574435764,2016,139.908282596148,139.826235862593,140.044488469803,"OGI","elevation"
3074.81423611111,2016,140.060122771302,139.973467288468,140.168149667432,"OGI","elevation"
3146.96272786458,2016,140.1266133782,140.059831775869,140.249951963979,"OGI","elevation"
3219.11121961806,2016,140.221158203667,140.160028952048,140.322989870251,"OGI","elevation"
3291.25971137153,2016,140.296293297076,140.234894911219,140.399104804743,"OGI","elevation"
3363.408203125,2016,140.297198600292,140.235145115077,140.399349905476,"OGI","elevation"
2714.07177734375,2017,138.261489950257,138.139829912431,138.3732588958,"OGI","elevation"
2786.22026909722,2017,138.267262332494,138.131092736627,138.36145202696,"OGI","elevation"
2858.36876085069,2017,138.396939111746,138.212642999529,138.446667243022,"OGI","elevation"
2930.51725260417,2017,138.737716866281,138.590504389386,138.786024290956,"OGI","elevation"
3002.66574435764,2017,139.820459081738,139.723944522134,139.912482496995,"OGI","elevation"
3074.81423611111,2017,139.971080541588,139.875826604685,140.034125456492,"OGI","elevation"
3146.96272786458,2017,140.041709576684,139.974108406794,140.124323603385,"OGI","elevation"
3219.11121961806,2017,140.13917635737,140.067734990701,140.205018219507,"OGI","elevation"
3291.25971137153,2017,140.216275246393,140.15063652748,140.292058048038,"OGI","elevation"
3363.408203125,2017,140.217180549609,140.150448910039,140.292085052431,"OGI","elevation"
2714.07177734375,2018,136.95347825528,136.855280670733,137.053443224143,"OGI","elevation"
2786.22026909722,2018,136.91489265226,136.841127318035,137.036698231221,"OGI","elevation"
2858.36876085069,2018,136.969803085174,136.905950695231,137.09798989793,"OGI","elevation"
2930.51725260417,2018,137.303828204582,137.243544243423,137.424985483383,"OGI","elevation"
3002.66574435764,2018,138.171349324325,138.076350616287,138.233618735199,"OGI","elevation"
3074.81423611111,2018,138.304210166762,138.196777874315,138.37099282994,"OGI","elevation"
3146.96272786458,2018,138.475540513569,138.314041078202,138.520663842365,"OGI","elevation"
3219.11121961806,2018,138.647786336922,138.498241457334,138.706134791736,"OGI","elevation"
3291.25971137153,2018,138.762020615632,138.642449997488,138.842820924082,"OGI","elevation"
3363.408203125,2018,138.762259356333,138.642816732438,138.843260737407,"OGI","elevation"
2714.07177734375,2019,143.805926586258,143.395460604985,144.100461993921,"OGI","elevation"
2786.22026909722,2019,143.773799384187,143.366375394331,144.090286825051,"OGI","elevation"
2858.36876085069,2019,143.802358315299,143.386431096611,144.110169173443,"OGI","elevation"
2930.51725260417,2019,144.106542441779,143.672161103087,144.476743867738,"OGI","elevation"
3002.66574435764,2019,144.658641311293,144.368593501461,145.051142763592,"OGI","elevation"
3074.81423611111,2019,144.842992048347,144.542018994792,145.228563586527,"OGI","elevation"
3146.96272786458,2019,144.977346316504,144.69430712371,145.368707135472,"OGI","elevation"
3219.11121961806,2019,145.055857653388,144.796767185254,145.433438176898,"OGI","elevation"
3291.25971137153,2019,145.142397304395,144.865683323499,145.504523711621,"OGI","elevation"
3363.408203125,2019,145.142346179365,144.866549836414,145.504472946961,"OGI","elevation"
-0.992548167705536,2016,138.984314465092,138.867771752917,139.069905441965,"OGI","cos_aspect"
-0.775590538978577,2016,139.129029559786,139.043984833631,139.185113101111,"OGI","cos_aspect"
-0.558632910251618,2016,139.23484196653,139.152895572698,139.290357709906,"OGI","cos_aspect"
-0.341675281524658,2016,139.296705591719,139.20027161363,139.34717072589,"OGI","cos_aspect"
-0.124717652797699,2016,139.309128820687,139.212963851138,139.368604701331,"OGI","cos_aspect"
0.0922399759292601,2016,139.325928476645,139.234323951233,139.38851533344,"OGI","cos_aspect"
0.309197604656219,2016,139.353223645048,139.259193354386,139.411066329393,"OGI","cos_aspect"
0.526155233383179,2016,139.377722973142,139.280444856524,139.432412065393,"OGI","cos_aspect"
0.743112862110138,2016,139.404187533026,139.29855808792,139.452213978173,"OGI","cos_aspect"
0.960070490837097,2016,139.41126981425,139.300390713828,139.464578188131,"OGI","cos_aspect"
-0.992548167705536,2017,138.84697387464,138.720448754709,138.936843781704,"OGI","cos_aspect"
-0.775590538978577,2017,138.993535338196,138.899392888381,139.047631772793,"OGI","cos_aspect"
-0.558632910251618,2017,139.094544032886,139.008801877082,139.157599284443,"OGI","cos_aspect"
-0.341675281524658,2017,139.161208546547,139.055845744566,139.212583541706,"OGI","cos_aspect"
-0.124717652797699,2017,139.171302583367,139.068877816919,139.232229839168,"OGI","cos_aspect"
0.0922399759292601,2017,139.189503821162,139.090117358024,139.251924887499,"OGI","cos_aspect"
0.309197604656219,2017,139.211113007525,139.113667136224,139.273616548047,"OGI","cos_aspect"
0.526155233383179,2017,139.235136256436,139.135099539996,139.294088093373,"OGI","cos_aspect"
0.743112862110138,2017,139.262414564646,139.153294262716,139.314243479675,"OGI","cos_aspect"
0.960070490837097,2017,139.270881784068,139.154846007495,139.328568292914,"OGI","cos_aspect"
-0.992548167705536,2018,137.323786866316,137.249096220755,137.459574460199,"OGI","cos_aspect"
-0.775590538978577,2018,137.454542394034,137.3777462599,137.564118841994,"OGI","cos_aspect"
-0.558632910251618,2018,137.570109031368,137.487463861117,137.66425172217,"OGI","cos_aspect"
