"year","x","y","aspen_cover","OGI","OGMn","GSL.50","EVImax","gupQA","gdownQA","elevation","cos_aspect","slope","height_canopy","cytotype_fraction_diploid","tmax_q99.t.minus.3","tmax_q99.t.minus.2","tmax_q99.t.minus.1","tmax_q99.t.minus.0","snowmelt.t.minus.3","snowmelt.t.minus.2","snowmelt.t.minus.1","snowmelt.t.minus.0","sm_q01.t.minus.3","sm_q01.t.minus.2","sm_q01.t.minus.1","sm_q01.t.minus.0","sm_runs_med_dur.t.minus.3","sm_runs_med_dur.t.minus.2","sm_runs_med_dur.t.minus.1","sm_runs_med_dur.t.minus.0"
"2016",329595,4315485,0.3311907351017,147,278,100,0.57,2,2,3124.41577148438,-0.739327132701874,28.8762092590332,5.71531200408936,0.999287068843842,29.60634765625,29.4943145751953,29.4858520507813,29.5822265625,143.244979858398,161,148.802154541016,161,0.269509613513947,0.328203946352005,0.338382035493851,0.299171417951584,0,0,0,0
"2016",329655,4315425,0.356741368770599,146,279,102,0.5831,2,2,3088.8974609375,-0.77672553062439,19.0477466583252,10.1563835144043,0.998800873756409,29.6081787109375,29.4969329833984,29.4880859375,29.5838928222656,144.512191772461,161,148.894943237305,161,0.26387944817543,0.318012982606888,0.327529042959213,0.291266858577728,25,10.5,12.5,17
"2016",321435,4314735,0.409825623035431,147,285,99,0.4593,2,2,2974.373046875,-0.11887663602829,16.3818759918213,5.75145816802979,0.357380986213684,29.6658813476562,29.5391784667969,29.5194946289063,29.6507934570312,153,162.773803710938,153,158.116653442383,0.302957206964493,0.358249068260193,0.348554134368896,0.348472476005554,0,0,0,0
"2016",321075,4314135,0.284726858139038,149,268,86,0.4435,2,2,2942.06420898438,0.244747802615166,39.3146514892578,2.94983458518982,0.446246415376663,29.6852172851562,29.56123046875,29.5419891357422,29.6694549560547,153,158.137725830078,154.926223754883,149.182052612305,0.31774640083313,0.372942417860031,0.358814477920532,0.356796592473984,0,0,0,0
"2016",321075,4313775,0.428295373916626,142,274,100,0.441,2,2,2874.31665039062,-0.559782385826111,21.1943855285645,6.16858386993408,0.969575762748718,29.7057922363281,29.5838989257812,29.5640289306641,29.688671875,151.482452392578,155.47526550293,148.480285644531,144.425811767578,0.318283021450043,0.372011363506317,0.357501983642578,0.357520699501038,0,0,0,0
"2016",327975,4312725,0.335387974977493,143,282,102,0.5447,1,2,2857.56713867188,0.155978560447693,17.8881874084473,11.5977258682251,0.691748201847076,29.8190521240234,29.7358306884766,29.6999481201172,29.7988494873047,136.66975402832,152.174392700195,120.66975402832,133.763656616211,0.315171539783478,0.370203346014023,0.382072180509567,0.34846243262291,0,0,0,0
"2016",327975,4312695,0.382911741733551,137,281,103,0.6064,2,2,2859.29638671875,0.307288348674774,10.2447872161865,12.6357393264771,0.434942126274109,29.8208190917969,29.7379516601562,29.7018157958984,29.800634765625,136.828460693359,152.571151733398,120.828460693359,133.683822631836,0.31528115272522,0.370266139507294,0.382387489080429,0.348773717880249,0,0,0,0
"2016",330555,4312695,0.312056183815002,143,281,93,0.6314,2,2,3024.96411132812,-0.728974521160126,16.2511177062988,5.73408031463623,0.0333649180829525,29.7685241699219,29.6923400878906,29.658642578125,29.7434661865234,127.529365539551,136.328094482422,117.671867370605,130.557281494141,0.303237974643707,0.335403382778168,0.345174252986908,0.347996026277542,0,0,0,0
"2016",328035,4312665,0.368827164173126,145,281,97,0.5406,2,2,2855.70874023438,0.186597242951393,9.1906623840332,14.8341655731201,0.927172362804413,29.8239929199219,29.7417785644531,29.7051879882812,29.8038177490234,136.596374511719,151.990936279297,120.596374511719,132.957565307617,0.312355697154999,0.36739319562912,0.379907965660095,0.34662464261055,0,0,0,0
"2016",330585,4312665,0.258917599916458,141,283,94,0.5303,2,2,3022.00732421875,-0.854764461517334,16.2359714508057,5.06429576873779,0.0155168771743774,29.7694396972656,29.6936767578125,29.6597625732422,29.7443237304688,127.609252929688,136.901779174805,118.751327514648,130.917114257812,0.301523178815842,0.333361357450485,0.343916922807693,0.347123265266418,0,0,0,0
"2016",327975,4312635,0.366668522357941,141,282,102,0.61,2,2,2866.17944335938,0.202932968735695,11.5889873504639,19.5199947357178,0.397055238485336,29.8243560791016,29.7421936035156,29.7055541992187,29.8042053222656,136.635223388672,153,122.857872009277,134.034790039062,0.313895046710968,0.367338269948959,0.380265593528748,0.348349839448929,0,0,0,0
"2016",328065,4312635,0.366029024124146,144,283,101,0.5276,2,2,2855.4423828125,-0.23063836991787,10.3669805526733,15.5669660568237,0.855744898319244,29.8265106201172,29.7447998046875,29.7078491210938,29.8063507080078,136.572570800781,151.931427001953,120.572570800781,132.541625976562,0.310771822929382,0.365487724542618,0.378346800804138,0.345585823059082,0,0,0,0
"2016",330585,4312635,0.279107719659805,140,279,94,0.5398,2,1,3015.10131835938,-0.706254124641418,15.839994430542,8.18630123138428,0.0195917543023825,29.7716186523438,29.6962341308594,29.6620086669922,29.7465270996094,127.376083374023,137.432037353516,119.214225769043,131.071411132812,0.301324486732483,0.332849949598312,0.343931049108505,0.346808731555939,0,0,0,0
"2016",330645,4312635,0.331131488084793,141,281,98,0.5948,2,2,3024.560546875,-0.748005270957947,15.244743347168,12.5906238555908,0.0223783776164055,29.769091796875,29.6937896728516,29.6597503662109,29.7438354492188,128.020904541016,137.490844726562,120.391250610352,131.463745117188,0.298471093177795,0.329796433448792,0.341423332691193,0.345770239830017,0,0,0,0
